mosquito_code,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,date_collecte,initials,date_entry_field,secondary_key,tablet_id,redcap_account,commune,arrondissement_bas,arrondissement_zog,arrondissement_gen,nom_arrondissement_gen,village_arr_bas,village_pen,village_gen_bas,village_cana1,village_cana2,village_gen_zog,village_general,nom_village_general,household,n_total_moustique,infos_de_base_menage_complete,specie_summary,oth_specie_sum,n_mosquito_specie,n_total_moustique_rep,number_indoors,number_outdoors,n_live,n_dead,n_sugar_fed,n_sugar_unfed,n_blue,n_green,n_green_blue,n_unfed,n_bfed,n_unk_feeding_status,n_not_gravid,n_semi_gravid,n_gravid,n_unk_gravid_status,n_male,n_female,summary_detail_mosquitoes_complete
20-1,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 22:03:25",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,01,18,1,,,,,,,,,,,,,,,,,,,,,,,
20-1,terrain_arm_1,summary_detail_mosquitoes,2,,,,,,,,,,,,,,,,,,,,,,,1,,17,,16,1,2,15,0,17,,,,2,15,0,17,0,0,0,0,17,1
20-1,terrain_arm_1,summary_detail_mosquitoes,3,,,,,,,,,,,,,,,,,,,,,,,6,,1,,0,1,0,1,0,1,,,,1,0,0,1,0,0,0,0,1,1
20-2,terrain_arm_1,,,2025-08-07,YB,2025-08-08,"2025-08-08 00:19:18",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,10,9,1,,,,,,,,,,,,,,,,,,,,,,,
20-2,terrain_arm_1,summary_detail_mosquitoes,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,0,0,1,0,1,,,,0,1,0,1,0,0,0,0,1,1
20-2,terrain_arm_1,summary_detail_mosquitoes,2,,,,,,,,,,,,,,,,,,,,,,,6,,8,,8,0,0,8,0,8,,,,8,0,0,8,0,0,0,0,8,1
20-3,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 22:34:18",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,02,11,1,,,,,,,,,,,,,,,,,,,,,,,
20-3,terrain_arm_1,summary_detail_mosquitoes,1,,,,,,,,,,,,,,,,,,,,,,,1,,10,,10,0,1,9,0,10,,,,5,5,0,10,0,0,0,0,10,1
20-3,terrain_arm_1,summary_detail_mosquitoes,2,,,,,,,,,,,,,,,,,,,,,,,4,,1,,0,1,0,1,0,1,,,,0,1,0,1,0,0,0,0,1,1
20-4,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 22:53:15",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,03,1,1,,,,,,,,,,,,,,,,,,,,,,,
20-4,terrain_arm_1,summary_detail_mosquitoes,2,,,,,,,,,,,,,,,,,,,,,,,6,,1,,0,1,0,1,0,1,,,,0,1,0,1,0,0,0,0,1,1
20-5,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 23:10:28",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,04,4,1,,,,,,,,,,,,,,,,,,,,,,,
20-5,terrain_arm_1,summary_detail_mosquitoes,1,,,,,,,,,,,,,,,,,,,,,,,1,,4,,1,3,0,4,0,4,,,,2,2,0,4,0,0,0,0,4,1
20-6,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 23:16:32",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,05,13,1,,,,,,,,,,,,,,,,,,,,,,,
20-6,terrain_arm_1,summary_detail_mosquitoes,1,,,,,,,,,,,,,,,,,,,,,,,1,,7,,7,0,3,4,0,7,,,,1,6,0,7,0,0,0,0,7,1
20-6,terrain_arm_1,summary_detail_mosquitoes,2,,,,,,,,,,,,,,,,,,,,,,,6,,6,,4,2,0,6,0,6,,,,6,0,0,6,0,0,0,0,6,1
20-7,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 23:26:19",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,06,6,1,,,,,,,,,,,,,,,,,,,,,,,
20-7,terrain_arm_1,summary_detail_mosquitoes,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,,3,0,1,2,0,3,,,,2,1,0,3,0,0,0,0,3,1
20-7,terrain_arm_1,summary_detail_mosquitoes,2,,,,,,,,,,,,,,,,,,,,,,,6,,3,,0,3,0,3,0,3,,,,3,0,0,3,0,0,0,0,0,1
20-8,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 23:37:00",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,07,3,1,,,,,,,,,,,,,,,,,,,,,,,
20-8,terrain_arm_1,summary_detail_mosquitoes,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,,3,0,0,3,0,3,,,,2,1,0,3,0,0,0,0,3,1
20-9,terrain_arm_1,,,2025-08-07,YB,2025-08-07,"2025-08-07 23:43:53",ts-24-09-10,atsb-bas-1,1,2,,2,Penessoulou,,5,5,,,,5,Bodi-Karantou,08,16,1,,,,,,,,,,,,,,,,,,,,,,,
20-9,terrain_arm_1,summary_detail_mosquitoes,1,,,,,,,,,,,,,,,,,,,,,,,1,,7,,5,2,0,7,0,7,,,,4,3,0,7,0,0,0,0,7,1
20-9,terrain_arm_1,summary_detail_mosquitoes,2,,,,,,,,,,,,,,,,,,,,,,,6,,6,,2,4,0,6,0,6,,,,4,0,0,4,1,1,0,0,6,1
